排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
212,约纳斯-杰雷布科,爵士,6.4,2.40-5.00,0.485,1.00-2.40,0.42200000000000004,0.60-0.60,0.882,27,17.5
212,弗雷德-范弗利特,猛龙,6.4,2.40-5.90,0.401,0.90-2.50,0.34700000000000003,0.80-0.90,0.846,29,17.7
215,马利克-蒙克,黄蜂,6.3,2.30-6.60,0.348,1.30-3.70,0.34299999999999997,0.40-0.60,0.706,27,15.1
215,马基斯-克里斯,太阳,6.3,2.30-5.70,0.397,0.70-2.30,0.28600000000000003,1.10-1.60,0.6920000000000001,33,20.1
215,蒂莫泰-卢瓦乌-卡巴罗,76人,6.3,2.10-5.60,0.38,1.00-3.20,0.311,1.00-1.30,0.757,28,16.4
215,德怀特-鲍威尔,小牛,6.3,2.50-4.70,0.531,0.30-1.30,0.25,0.90-1.40,0.659,31,17.8
219,安德烈-伊格达拉,勇士,6.2,2.40-5.10,0.45899999999999996,0.50-1.90,0.28,0.90-1.50,0.632,26,27.1
220,戈尔吉-吉昂,森林狼,6.1,2.40-5.00,0.486,0.20-0.90,0.2,1.10-1.50,0.7440000000000001,29,17.7
221,阿隆-贝恩斯,凯尔特人,6.0,2.50-5.00,0.49700000000000005,0.00-0.20,0.0,1.00-1.40,0.7170000000000001,34,18.4
221,卢克-肯纳德,活塞,6.0,2.30-5.50,0.41,0.90-2.40,0.387,0.50-0.60,0.765,26,16.5
223,马克西-克勒贝尔,小牛,5.9,2.40-4.50,0.5379999999999999,0.50-1.60,0.326,0.50-0.80,0.667,26,19.2
224,贾米尔-尼尔森,鹈鹕,5.8,2.10-5.10,0.423,1.00-2.70,0.384,0.50-0.60,0.765,27,24.7
224,弗朗克-尼利基纳,尼克斯,5.8,2.20-6.10,0.36,0.60-1.90,0.32,0.90-1.10,0.742,27,20.2
226,帕特-康诺顿,开拓者,5.7,2.10-4.80,0.43,1.10-2.80,0.386,0.50-0.60,0.833,31,19.0
226,贾斯廷-杰克逊,国王,5.7,2.30-5.90,0.382,0.90-2.80,0.311,0.30-0.50,0.636,22,18.7
228,丹特-坎宁安,鹈鹕,5.6,2.10-4.90,0.43200000000000005,0.80-2.60,0.325,0.50-0.90,0.5770000000000001,30,22.9
229,德拉甘-本德尔,太阳,5.5,1.90-5.00,0.384,1.30-3.40,0.37799999999999995,0.40-0.50,0.75,33,20.8
229,托马什-萨托兰斯基,奇才,5.5,2.00-4.00,0.5,0.40-1.10,0.4,1.00-1.50,0.688,22,17.5
229,马尔科姆-德莱尼,老鹰,5.5,1.80-4.60,0.39,0.60-1.80,0.35700000000000004,1.30-1.70,0.7440000000000001,23,18.2
232,昆西-埃西,篮网,5.4,1.50-4.80,0.314,1.20-3.80,0.33,1.10-1.40,0.8240000000000001,25,17.6
233,以赛亚-泰勒,老鹰,5.3,1.90-4.40,0.425,0.30-1.10,0.308,1.20-1.80,0.69,24,15.5
234,亚历克斯-阿夫里内斯,雷霆,5.2,1.70-4.40,0.39399999999999996,1.20-3.10,0.382,0.60-0.70,0.81,29,17.6
234,科斯塔-库佛斯,国王,5.2,2.30-4.30,0.526,0.00-0.00,0.0,0.60-1.30,0.475,31,18.4
234,贾旺-埃文斯,快船,5.2,1.90-5.50,0.349,0.30-1.20,0.25,1.00-1.40,0.774,23,15.9
234,威利-里德,快船,5.2,2.10-3.10,0.688,0.00-0.00,1.0,1.00-1.60,0.585,25,10.2
238,马里奥-海佐尼亚,魔术,5.0,1.90-4.20,0.44799999999999995,0.80-2.10,0.385,0.40-0.50,0.846,25,13.6
238,肖恩-利文斯顿,勇士,5.0,2.20-4.50,0.5,0.00-0.10,0.0,0.60-0.80,0.75,26,16.0
238,莫里斯-哈克利斯,开拓者,5.0,1.90-4.70,0.41,0.40-1.60,0.256,0.70-1.00,0.75,25,22.4
238,埃德-戴维斯,开拓者,5.0,2.00-3.80,0.521,0.00-0.00,0.0,1.00-1.50,0.667,31,17.6
238,贾莱特-阿伦,篮网,5.0,2.00-3.90,0.519,0.10-0.10,0.5,1.00-1.30,0.75,21,16.5
238,安德烈-罗伯森,雷霆,5.0,2.30-4.20,0.541,0.20-1.10,0.212,0.20-0.40,0.385,29,26.4
238,扎扎-帕楚里亚,勇士,5.0,2.00-3.60,0.56,0.00-0.00,0.0,0.90-1.20,0.7929999999999999,25,14.4
245,托尼-阿伦,鹈鹕,4.7,2.00-4.10,0.484,0.20-0.60,0.33299999999999996,0.50-0.90,0.524,22,12.4
246,何塞-卡尔德隆,骑士,4.6,1.60-3.20,0.507,0.90-1.80,0.5,0.40-0.50,0.833,23,17.4
246,伊恩-克拉克,鹈鹕,4.6,1.70-4.70,0.359,0.80-2.40,0.311,0.40-0.60,0.688,25,15.1
248,乔丹-贝尔,勇士,4.5,2.10-2.90,0.726,0.00-0.00,0.0,0.20-0.30,0.75,25,12.8
248,戴维斯-贝尔坦斯,马刺,4.5,1.50-3.40,0.44799999999999995,1.00-2.60,0.384,0.50-0.60,0.813,28,10.0
248,季莫费-莫兹戈夫,篮网,4.5,1.80-3.30,0.551,0.10-0.80,0.17600000000000002,0.80-1.00,0.727,21,13.6
251,诺阿-冯莱,开拓者,4.4,1.80-3.40,0.5329999999999999,0.00-0.00,0.0,0.80-1.00,0.7390000000000001,22,19.1
251,兰斯-托马斯,尼克斯,4.4,1.40-3.80,0.375,0.50-1.50,0.341,1.00-1.20,0.818,27,17.7
253,阿米尔-约翰逊,76人,4.3,1.80-3.50,0.495,0.10-0.50,0.214,0.70-1.20,0.5429999999999999,28,15.3
253,贾雷尔-马丁,灰熊,4.3,1.60-4.30,0.376,0.30-1.20,0.265,0.80-1.00,0.821,29,16.7
255,索恩-梅克,雄鹿,4.2,1.50-3.80,0.39399999999999996,0.40-1.30,0.282,0.80-1.20,0.667,29,18.6
255,丹尼尔-泰斯,凯尔特人,4.2,1.70-3.20,0.52,0.10-0.70,0.174,0.80-1.00,0.758,32,12.6
255,钱宁-弗莱,骑士,4.2,1.70-3.50,0.5,0.60-1.80,0.314,0.20-0.20,1.0,29,12.4
255,谢尔文-麦克,魔术,4.2,1.50-4.10,0.359,0.40-1.20,0.32299999999999995,0.80-1.20,0.677,25,18.1
259,俾斯麦-比永博,魔术,4.1,1.50-3.10,0.485,0.00-0.00,0.0,1.10-1.80,0.586,32,15.0
260,泰厄斯-琼斯,森林狼,4.0,1.40-3.10,0.449,0.50-1.20,0.41,0.70-0.90,0.821,32,16.7
260,辛达里厄斯-桑韦尔,快船,4.0,1.50-3.30,0.449,0.40-1.00,0.419,0.60-1.00,0.655,30,15.6
260,克里斯蒂亚诺-费利西奥,公牛,4.0,1.70-2.70,0.627,0.00-0.00,0.0,0.60-1.00,0.591,22,14.4
260,约什-哈特,湖人,4.0,1.40-3.40,0.42,0.60-1.60,0.368,0.60-0.80,0.7,24,15.5
264,伊安-马辛米,奇才,3.9,1.30-2.70,0.5,0.00-0.00,0.0,1.20-1.50,0.7559999999999999,29,15.1
264,萨姆-德克尔,快船,3.9,1.60-4.20,0.373,0.30-1.70,0.156,0.50-0.60,0.706,26,13.0
266,保罗-齐普泽,公牛,3.7,1.50-4.80,0.31,0.60-2.00,0.29600000000000004,0.20-0.30,0.556,27,16.0
266,马利克-比斯利,掘金,3.7,1.40-3.50,0.402,0.50-1.50,0.317,0.40-0.60,0.667,28,10.6
266,贾维尔-麦基,勇士,3.7,1.60-2.70,0.589,0.00-0.10,0.0,0.50-0.70,0.778,27,8.2
269,德维恩-培根,黄蜂,3.6,1.50-3.90,0.373,0.40-1.10,0.33299999999999996,0.40-0.50,0.7140000000000001,28,15.9
269,蒂姆-弗雷泽,奇才,3.6,1.40-3.40,0.408,0.40-1.20,0.306,0.50-0.50,0.875,30,16.7
271,帕特里克-麦考,勇士,3.5,1.30-3.00,0.439,0.50-1.40,0.342,0.40-0.50,0.769,27,14.9
271,肖恩-拉金,凯尔特人,3.5,1.20-3.40,0.36,0.40-1.40,0.324,0.60-0.70,0.833,25,11.0
273,布兰登-保罗,马刺,3.4,1.20-2.70,0.435,0.40-1.30,0.317,0.60-0.90,0.643,31,11.9
274,TJ-利夫,步行者,3.3,1.40-3.00,0.45899999999999996,0.40-0.90,0.478,0.10-0.30,0.429,25,9.6
275,帕特里克-帕特森,雷霆,3.2,1.10-2.90,0.37799999999999995,0.80-2.10,0.375,0.20-0.20,1.0,31,14.5
276,科里-布鲁尔,湖人,3.1,1.20-2.50,0.466,0.20-0.70,0.23800000000000002,0.60-0.90,0.68,29,11.6
277,艾派-尤度,爵士,2.9,1.10-2.30,0.47,0.00-0.00,0.0,0.80-1.00,0.733,29,16.1
277,萨拉赫-梅杰里,小牛,2.9,1.20-1.80,0.653,0.00-0.10,0.0,0.50-1.00,0.48100000000000004,27,11.0
279,凯文-卢尼,勇士,2.8,1.20-2.20,0.5379999999999999,0.00-0.00,0.0,0.50-0.90,0.545,24,10.3
280,塔里克-布莱克,火箭,2.7,1.10-2.10,0.531,0.00-0.30,0.0,0.50-0.90,0.55,23,8.0
281,谢米-奥杰莱,凯尔特人,2.5,0.80-2.50,0.321,0.60-1.90,0.281,0.40-0.60,0.632,33,14.1
281,乔什-休斯蒂斯,雷霆,2.5,0.90-2.50,0.365,0.60-1.70,0.349,0.10-0.30,0.28600000000000003,25,12.1
281,阿隆-阿弗拉罗,魔术,2.5,0.90-2.70,0.33899999999999997,0.30-1.20,0.222,0.40-0.60,0.7140000000000001,23,13.4
284,切迪-奥斯曼,骑士,2.3,0.90-1.80,0.512,0.30-0.80,0.42100000000000004,0.10-0.10,1.0,24,7.8
285,德安德烈-利金斯,雄鹿,2.1,0.80-2.30,0.344,0.40-1.30,0.33299999999999996,0.10-0.20,0.4,26,15.7
286,埃里克-莫兰,活塞,1.3,0.60-1.10,0.516,0.00-0.00,0.0,0.20-0.40,0.4,27,11.0
